"","points","price","variety","latitude","longitude","cluster","country"
"124",90,65,"Pinot Noir",-41.4545196,145.9706647,3,"Australia"
"125",85,15,"Sauvignon Blanc",46.227638,2.213749,1,"France"
"126",85,11,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"127",85,12,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"128",85,15,"Chardonnay",46.227638,2.213749,4,"France"
"129",88,25,"Chardonnay",-30.0002315,136.2091547,4,"Australia"
"130",88,37,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"131",87,23,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"132",90,15,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"133",90,56,"Pinot Noir",47.0525047,4.3837215,5,"France"
"134",90,27,"Syrah",-34.1718313,-70.6216794,6,"Chile"
"135",90,35,"Pinot Noir",48.3181795,7.4416241,5,"France"
"136",90,70,"Pinot Noir",47.0525047,4.3837215,5,"France"
"137",90,70,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"138",90,85,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"139",90,35,"Pinot Noir",47.5532402,1.0105289,5,"France"
"140",90,80,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"141",90,43,"Chardonnay",47.0525047,4.3837215,4,"France"
"142",93,46,"Chardonnay",-36.7772623,174.5588019,3,"New Zealand"
"143",93,40,"Malbec",46.227638,2.213749,2,"France"
"144",93,27,"Pinot Noir",48.108077,15.8049558,5,"Austria"
"145",93,33,"Sauvignon Blanc",-41.57269,173.4216613,3,"New Zealand"
"146",93,40,"Riesling",-44.9566315,169.3988451,3,"New Zealand"
"147",93,37,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"148",93,19,"Pinot Noir",47.7267825,16.0861097,5,"Austria"
"149",90,141,"Chardonnay",47.0525047,4.3837215,4,"France"
"150",90,74,"Chardonnay",47.0525047,4.3837215,4,"France"
"151",92,34,"Riesling",48.3181795,7.4416241,2,"France"
"152",92,25,"Riesling",48.3181795,7.4416241,2,"France"
"153",92,30,"Riesling",48.3181795,7.4416241,2,"France"
"154",92,47,"Riesling",48.3181795,7.4416241,2,"France"
"155",92,49,"Riesling",48.3181795,7.4416241,2,"France"
"156",92,26,"Riesling",48.3181795,7.4416241,2,"France"
"157",85,35,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"158",85,12,"Malbec",46.227638,2.213749,1,"France"
"159",85,13,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"160",85,17,"Malbec",46.227638,2.213749,1,"France"
"161",87,55,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"162",87,11,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"163",87,38,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"164",87,18,"Pinot Noir",-32.8896247,-68.8526867,5,"Argentina"
"165",89,26,"Malbec",46.227638,2.213749,4,"France"
"166",88,18,"Malbec",46.227638,2.213749,4,"France"
"167",88,13,"Sauvignon Blanc",-33.3190376,-71.4076318,3,"Chile"
"168",91,23,"Syrah",-34.3984467,-71.6215715,6,"Chile"
"169",91,78,"Chardonnay",47.0525047,4.3837215,4,"France"
"170",91,65,"Pinot Noir",47.0525047,4.3837215,5,"France"
"171",91,60,"Chardonnay",47.0525047,4.3837215,4,"France"
"172",91,74,"Pinot Noir",47.0525047,4.3837215,5,"France"
"173",88,14,"Tempranillo",40.463667,-3.74922,1,"Spain"
"174",88,21,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"175",88,15,"Sauvignon Blanc",44.837789,-0.57918,4,"France"
"176",88,22,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"177",88,28,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"178",90,60,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"179",90,50,"Chardonnay",47.0525047,4.3837215,4,"France"
"180",90,85,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"181",90,20,"Sauvignon Blanc",47.5532402,1.0105289,2,"France"
"182",90,30,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"183",90,24,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"184",92,63,"Pinot Noir",-41.2190932,175.4600651,3,"New Zealand"
"185",85,149,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"186",85,9,"Malbec",46.227638,2.213749,1,"France"
"187",84,12,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"188",84,17,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"189",91,14,"Riesling",48.3181795,7.4416241,2,"France"
"190",91,20,"Syrah",-32.653179,-70.0108675,6,"Chile"
"191",91,36,"Riesling",48.3181795,7.4416241,2,"France"
"192",87,18,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"193",87,140,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"194",87,60,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"195",87,50,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"196",87,138,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"197",87,55,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"198",91,45,"Malbec",46.227638,2.213749,2,"France"
"199",88,65,"Merlot",43.7710513,11.2486208,4,"Italy"
"200",88,20,"Pinot Noir",-33.3190376,-71.4076318,5,"Chile"
"201",88,120,"Merlot",43.7710513,11.2486208,4,"Italy"
"202",88,12,"Merlot",-33.444962,-70.648283,6,"Chile"
"203",88,20,"Pinot Noir",-33.3190376,-71.4076318,5,"Chile"
"204",88,110,"Merlot",43.7710513,11.2486208,4,"Italy"
"205",88,15,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"206",88,25,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"207",88,15,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"208",90,35,"Chardonnay",47.0525047,4.3837215,4,"France"
"209",90,22,"Sauvignon Blanc",-35.675147,-71.542969,3,"Chile"
"210",90,55,"Pinot Noir",48.3181795,7.4416241,5,"France"
"211",90,117,"Chardonnay",47.0525047,4.3837215,4,"France"
"212",90,68,"Pinot Noir",47.0525047,4.3837215,5,"France"
"213",90,60,"Pinot Noir",47.0525047,4.3837215,5,"France"
"214",90,20,"Pinot Noir",48.3181795,7.4416241,5,"France"
"215",90,20,"Sauvignon Blanc",47.5532402,1.0105289,2,"France"
"216",90,80,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"217",90,120,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"218",90,59,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"219",90,66,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"220",90,26,"Sauvignon Blanc",47.5532402,1.0105289,2,"France"
"221",90,30,"Sauvignon Blanc",47.5532402,1.0105289,2,"France"
"222",90,26,"Sauvignon Blanc",47.5532402,1.0105289,2,"France"
"223",90,50,"Sauvignon Blanc",47.5532402,1.0105289,2,"France"
"224",90,55,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"225",92,49,"Chardonnay",-36.7772623,174.5588019,3,"New Zealand"
"226",92,50,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"227",92,77,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"228",92,25,"Chardonnay",-41.2706319,173.2839653,3,"New Zealand"
"229",90,30,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"230",84,11,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"231",84,19,"Chardonnay",47.0525047,4.3837215,4,"France"
"232",84,11,"Syrah",-38.416097,-63.616672,6,"Argentina"
"233",84,19,"Pinot Noir",47.0525047,4.3837215,5,"France"
"234",83,15,"Sauvignon Blanc",-32.8896247,-68.8526867,3,"Argentina"
"235",83,12,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"236",91,53,"Riesling",48.3181795,7.4416241,2,"France"
"237",91,17,"Riesling",48.3181795,7.4416241,2,"France"
"238",87,20,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"239",90,60,"Syrah",-30.1574117,-70.4969608,6,"Chile"
"240",90,44,"Malbec",46.227638,2.213749,2,"France"
"241",90,25,"Syrah",-34.6761419,-71.097317,6,"Chile"
"242",90,42,"Chardonnay",41.87194,12.56738,4,"Italy"
"243",88,28,"Syrah",-33.5922807,-71.6055123,6,"Chile"
"244",88,22,"Tempranillo",43.7710513,11.2486208,1,"Italy"
"245",88,23,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"246",87,10,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"247",87,20,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"248",90,25,"Pinot Noir",48.3181795,7.4416241,5,"France"
"249",90,40,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"250",90,95,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"251",92,34,"Chardonnay",-36.7772623,174.5588019,3,"New Zealand"
"252",92,17,"Riesling",48.585085,15.4126618,2,"Austria"
"253",92,14,"Pinot Noir",48.113326,16.861693,5,"Austria"
"254",90,28,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"255",90,25,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"256",89,25,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"257",89,65,"Syrah",43.7710513,11.2486208,2,"Italy"
"258",89,48,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"259",90,25,"Sauvignon Blanc",47.5532402,1.0105289,2,"France"
"260",90,55,"Chardonnay",47.0525047,4.3837215,4,"France"
"261",99,200,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"262",98,95,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"263",97,125,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"264",86,19,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"265",86,50,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"266",86,85,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"267",88,12,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"268",88,25,"Syrah",43.7710513,11.2486208,4,"Italy"
"269",88,15,"Sauvignon Blanc",-33.5922807,-71.6055123,3,"Chile"
"270",88,30,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"271",90,25,"Merlot",44.837789,-0.57918,2,"France"
"272",90,82,"Pinot Noir",47.0525047,4.3837215,5,"France"
"273",87,14,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"274",87,32,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"275",87,16,"Sauvignon Blanc",44.837789,-0.57918,1,"France"
"276",90,17,"Pinot Noir",-30.0002315,136.2091547,3,"Australia"
"277",92,40,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"278",92,65,"Pinot Noir",-44.9566315,169.3988451,3,"New Zealand"
"279",92,125,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"280",92,37,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"281",92,61,"Pinot Noir",-41.2190932,175.4600651,3,"New Zealand"
"282",92,40,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"283",92,20,"Riesling",48.3896089,15.4748897,2,"Austria"
"284",92,46,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"285",90,26,"Chardonnay",47.0525047,4.3837215,4,"France"
"286",90,30,"Cabernet Sauvignon",-33.444962,-70.648283,6,"Chile"
"287",89,13,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"288",89,25,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"289",89,60,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"290",89,35,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"291",89,30,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"292",89,65,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"293",89,25,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"294",89,25,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"295",89,60,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"296",89,120,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"297",89,23,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"298",89,23,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"299",89,20,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"300",89,70,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"301",89,45,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"302",96,120,"Riesling",48.3181795,7.4416241,2,"France"
"303",96,64,"Riesling",48.3181795,7.4416241,2,"France"
"304",96,50,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"305",96,85,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"306",86,44,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"307",86,21,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"308",88,15,"Sauvignon Blanc",-30.1574117,-70.4969608,3,"Chile"
"309",88,37,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"310",88,18,"Sauvignon Blanc",-33.5922807,-71.6055123,3,"Chile"
"311",91,24,"Riesling",48.3181795,7.4416241,2,"France"
"312",91,27,"Riesling",48.3181795,7.4416241,2,"France"
"313",91,25,"Merlot",38.567177,-8.927754,2,"Portugal"
"314",90,64,"Pinot Noir",47.0525047,4.3837215,5,"France"
"315",92,29,"Sauvignon Blanc",-41.57269,173.4216613,3,"New Zealand"
"316",92,50,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"317",92,28,"Pinot Noir",-41.2190932,175.4600651,3,"New Zealand"
"318",87,42,"Pinot Noir",-37.4713077,144.7851531,3,"Australia"
"319",87,10,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"320",87,10,"Tempranillo",40.463667,-3.74922,1,"Spain"
"321",87,28,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"322",89,60,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"323",89,25,"Pinot Noir",47.5532402,1.0105289,5,"France"
"324",89,44,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"325",90,238,"Chardonnay",47.0525047,4.3837215,4,"France"
"326",90,65,"Chardonnay",47.0525047,4.3837215,4,"France"
"327",90,40,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"328",90,20,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"329",89,30,"Pinot Noir",48.3181795,7.4416241,5,"France"
"330",89,28,"Pinot Noir",48.3181795,7.4416241,5,"France"
"331",96,65,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"332",95,38,"Riesling",48.3181795,7.4416241,2,"France"
"333",95,50,"Riesling",48.3181795,7.4416241,2,"France"
"334",95,65,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"335",95,45,"Riesling",48.3181795,7.4416241,2,"France"
"336",95,44,"Riesling",48.3181795,7.4416241,2,"France"
"337",95,95,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"338",95,80,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"339",95,120,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"340",95,75,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"341",95,70,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"342",95,90,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"343",86,15,"Sauvignon Blanc",44.837789,-0.57918,1,"France"
"344",86,28,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"345",92,59,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"346",89,90,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"347",89,20,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"348",89,65,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"349",89,15,"Cabernet Sauvignon",43.7710513,11.2486208,2,"Italy"
"350",89,107,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"351",88,20,"Syrah",-34.6761419,-71.097317,6,"Chile"
"352",88,140,"Merlot",43.7710513,11.2486208,4,"Italy"
"353",88,65,"Merlot",43.7710513,11.2486208,4,"Italy"
"354",88,24,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"355",91,25,"Riesling",48.3181795,7.4416241,2,"France"
"356",91,29,"Riesling",48.3181795,7.4416241,2,"France"
"357",90,46,"Chardonnay",47.0525047,4.3837215,4,"France"
"358",90,75,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"359",90,20,"Cabernet Sauvignon",39.7528442,-5.2532284,2,"Portugal"
"360",87,39,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"361",87,11,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"362",87,28,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"363",87,26,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"364",89,30,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"365",89,20,"Pinot Noir",-30.0002315,136.2091547,3,"Australia"
"366",89,33,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"367",89,22,"Malbec",-32.8896247,-68.8526867,6,"Argentina"
"368",89,29,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
"369",89,20,"Pinot Noir",-37.4713077,144.7851531,3,"Australia"
"370",89,73,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"371",89,17,"Sauvignon Blanc",-34.6761419,-71.097317,3,"Chile"
"372",89,37,"Pinot Noir",47.0525047,4.3837215,5,"France"
"373",89,20,"Cabernet Sauvignon",-32.653179,-70.0108675,6,"Chile"
"374",89,38,"Pinot Noir",48.3181795,7.4416241,5,"France"
"375",95,41,"Riesling",48.3181795,7.4416241,2,"France"
"376",95,500,"Cabernet Sauvignon",-30.0002315,136.2091547,6,"Australia"
"377",95,70,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"378",95,30,"Riesling",48.3181795,7.4416241,2,"France"
"379",95,100,"Riesling",48.3181795,7.4416241,2,"France"
"380",95,63,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"381",95,43,"Riesling",48.3181795,7.4416241,2,"France"
"382",86,75,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"383",86,12,"Tempranillo",43.2691164,-4.2500792,1,"Spain"
"384",86,13,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"385",86,70,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"386",86,90,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"387",86,100,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"388",86,100,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"389",86,90,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"390",86,16,"Cabernet Sauvignon",-32.8896247,-68.8526867,6,"Argentina"
"391",91,30,"Sauvignon Blanc",-39.1089867,176.7416374,3,"New Zealand"
"392",89,80,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"393",89,100,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"394",89,128,"Sangiovese",43.7710513,11.2486208,2,"Italy"
"395",89,50,"Chardonnay",47.0525047,4.3837215,4,"France"
"396",89,40,"Sauvignon Blanc",47.5532402,1.0105289,4,"France"
