"","country","description","points","price","province","variety","latitude","longitude","cluster"
"16","France","This late release, aging for five years, has produced a majestic wine. Its breadth of flavor, with ripe fruits as well as intense structure, are gently transitioning from the first flush of youth to a more mature character. Intensely textured, tight, ready to spring, it shows the beauty of maturing Riesling. Drink now, although it will age many more years.",93,61,"Alsace","Riesling",48.3181795,7.4416241,4
"17","France","This ripe, full wine has both great minerality and rich white fruits that are aromatic as well as very fresh. The fruits are laced with citrus to give a complex wine that deserves aging. Drink from 2017.",92,35,"Alsace","Riesling",48.3181795,7.4416241,4
"18","France","As its name implies, this wine comes from chalk soil, giving both a strongly mineral character and ripe tropical fruit flavors. It's rich, full in the mouth, dry but with such a ripe character there seems to be some sweetness. It's impressively full and ready to drink now.",92,55,"Alsace","Riesling",48.3181795,7.4416241,4
"19","France","A lemon-scented, crisp wine, it's also full of ripe yellow fruits. It's a warm in style, rich with both fruit and an open texture. Almonds and acidity give a refreshing aftertaste.",88,23,"Loire Valley","Sauvignon Blanc",47.5532402,1.0105289,4
"20","France","Packed with tannin, it is not showing much sign of fruit yet. It is dark, brooding and very firm in texture, with just with a hint of juicy black cherry flavors. Wait until 2017 before drinking.",92,92,"Burgundy","Pinot Noir",47.0525047,4.3837215,4
"21","France","There is a great balance here between the creamy fruit and the wood flavors. Apricots, ripe apples and melon are spiced with the right amount of toastiness. The wine has a rich, warm feel. It is still young, so wait until 2015 to drink.",91,60,"Burgundy","Chardonnay",47.0525047,4.3837215,2
"22","France","Still firm and closed, this is a structured wine, solidly tannic with just hints of fruit. It has a dry feel to it, firm, the acidity and red fruits coming through the leathery, dark texture. The wine needs aging, so drink from 2017.",91,100,"Burgundy","Pinot Noir",47.0525047,4.3837215,4
"23","France","From old vines in a tree-enclosed vineyard on the third terrace above the River Lot, this wine forms part of a range of wines featuring the soils and terraces of the Cahors vineyard. Named in homage to Marguerite de Massaut, a 16th-century owner of the estate, the wine is aged in new wood that gives it a minty character. That is balanced by the rich black-plum and truffle flavor and the intense acidity. The wine needs to age, so drink from 2021.",94,70,"Southwest France","Malbec",46.227638,2.213749,4
"24","Spain","Ripe berry aromas blend nicely with earthy leathery scents. With a full and easy palate, this generous Crianza delivers blackberry and chocolate flavors that veer toward raisin and prune, especially on the finish, which is lightly toasted and dense in feel. Drink through 2019.",91,32,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"25","France","This is a blend from most parts of the village, with fruit from 14 different parcels. It is solid and firm while also having great swathes of raspberries and red plums laced together with acidity. The aftertaste is perfumed with a fresh lift. Drink from 2018",90,70,"Burgundy","Pinot Noir",47.0525047,4.3837215,4
"26","Spain","Aromas of plum, wild herbs and tobacco are mature and suggest that this is ready to drink. In the mouth, this is medium-bodied, with clarity and a sense of freshness. Plum, berry and cherry flavors finish in harmony. Drink through 2020.",90,35,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"27","Italy","Tilled earth, ripe dark-skinned berry, leather and menthol aromas show this wine's Sangiovese pedigree. The robust, concentrated palate doles out crushed black cherry, raspberry jam, cinnamon, licorice and the warmth of evident alcohol—the latter a common characteristic of this hot vintage. Firm, ripe tannins provide the framework. Drink 2017–2021.",90,60,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"28","Italy","Aromas of espresso, underbrush, leather, dark spice, mature black-skinned fruit and a suggestion of oak lead the way. The firm palate offers dried black cherry, mocha, vanilla and star anise alongside fine-grained tannins that leave a dusty finish.",90,75,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"29","Italy","Grilled herb, forest floor, scorched earth, cured meat and menthol aromas lead the way. The ripe palate offers juicy wild cherry, fleshy black raspberry, cinnamon, pipe tobacco and a confectionary note alongside firm, enveloping tannins. It's already accessible and will make fine near- to mid-term drinking.",90,60,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"30","Italy","Aromas of wild berry, thyme and a whiff of cellar floor lead the nose on this structured red while the full-bodied palate offers dried black cherry, white pepper, sage and anise. Tightly wound tannins provide framework. Give it a few years to unfurl then drink up.",90,90,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"31","Italy","Scorched earth, underbrush, blue flower and woodland berry are some of the scents you'll find on this focused wine. The elegant, full-bodied palate delivers black raspberry, mature cherry, brown kitchen spice and a hint of leather alongside tightly wound but refined tannins. Drink 2016–2021.",90,35,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"32","Italy","Earthy aromas include new leather, scorched soil, wild berry and a touch of funky game. On the robust palate, grilled sage, tobacco and licorice add depth to a core of fleshy wild cherry along a backbone of raspy tannins and searing alcohol. Drink after 2018.",87,75,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"33","Spain","Wiry aromas of berry and spice are tempered by a touch of oaky vanilla. On the palate, there's a blend of creamy oak and sharp acidity, while flavors of plum and boysenberry are tart overall but again softened by barrel-driven vanilla notes. Snappy acidity makes for a moderately sharp, pointed finish.",87,15,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"34","Italy","Aromas of cured meat, stewed fruit and toasted oak lead the nose. On the ripe palate, notes of powdered sage, vanilla and oak spices accent fleshy black plum. Bracing tannins provide the framework, but drink soon to capture the fruit richness.",87,58,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"35","Argentina","Although this San Juan SB offers almost nothing on the nose, it's fresh and popping with acidity on the palate. Flavors of briny citrus are entirely familiar, while this finishes with cleansing crispness.",86,10,"Other","Sauvignon Blanc",-38.416097,-63.616672,3
"36","Argentina","Jammy blueberry aromas come with overt oakiness. This feels dense but on the flat side. Baked berry flavors and herbal plum notes sprinkle in a mild sweet and green accent, while this feels full and a bit syrupy on the finish.",86,15,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"37","Italy","Made with Cabernet Sauvignon, this opens with aromas of toast, coffee, black currants and a whiff of cedar. The palate delivers dried black cherries, espresso, grilled sage and a leathery note alongside assertive, astringent tannins.",89,55,"Tuscany","Cabernet Sauvignon",43.7710513,11.2486208,3
"38","Italy","This brooding wine opens with aromas of mature blue and black fruit, allspice, charred earth and whiff of game. The palate delivers spiced blueberry, blackberry, ground pepper, licorice and tobacco alongside assertive tannins.",89,45,"Tuscany","Cabernet Sauvignon",43.7710513,11.2486208,3
"39","France","This is rich and full-bodied, a splendid wine with its ripe yellow fruits, intensely aromatic character and a pinch of pepper. Concentrated, it finishes with a light touch of toastiness that hints at the maturity to come. Drink from 2016.",92,29,"Alsace","Riesling",48.3181795,7.4416241,4
"40","France","Situated close to the northern edge of Beaune vineyards, this premier cru has something of the soft ripeness of Savigny-lès-Beaune next door. The wine is ripe, with tannins that are present although certainly not dominant. It has the potential to revel in its red fruits and generous texture. Drink this wine from 2019.",90,50,"Burgundy","Pinot Noir",47.0525047,4.3837215,4
"41","France","Aromas of this wine show considerable wood. On the palate, the wood is very present, giving acidity as well as layers of toast and spice. Hints of yellow fruit show through, suggesting the possibility of a ripe, rich wine in the future. Drink from 2019.",90,59,"Burgundy","Chardonnay",47.0525047,4.3837215,2
"42","Spain","Deep dark berry aromas come with notes of vanilla, gritty spice and tobacco. Hard tannins require cushion and this has just enough to handle things. Blackberry, cassis, barrel spice and molasses flavors finish with savory oak notes, chocolate and lingering blackberry fruit. Drink through 2030.",93,64,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"43","Australia","Tim Knappstein's decision to focus on the Adelaide Hills bears fruit in this terrific-value Pinot Noir. The aromas and flavors are a colorful mélange of beets, black cherries and purple heirloom tomatoes, backed by a rich texture and a long velvety finish. Drink now until 2020.",90,20,"South Australia","Pinot Noir",-30.0002315,136.2091547,3
"44","France","From vines on the cooler left bank of the Serein river, this wine offers notes of toast, spice and ripe yellow fruits cut by tense, zingy lemon zest. It is textured, tense and full of minerality. Drink from 2017.",90,45,"Burgundy","Chardonnay",47.0525047,4.3837215,2
"45","France","This lightweight, fruity wine is very direct in its acidity and canteloupe flavors. Citrus cuts the richness, while a fine chalky texture comes from the soil of the region. It's a wine to drink soon, fresh and packed with crisp fruits.",88,27,"Loire Valley","Sauvignon Blanc",47.5532402,1.0105289,4
"46","France","Totally herbaceous, it's full of green herb flavors and tight with citrus and gooseberry. A light touch balances the intensity, giving freshness to the wine that's ready to drink now.",88,35,"Loire Valley","Sauvignon Blanc",47.5532402,1.0105289,4
"47","France","This fragrant wine is full of fresh citrus and green apple flavors that are crisp and lively. A steely element comes through to give structure.",88,28,"Loire Valley","Sauvignon Blanc",47.5532402,1.0105289,4
"48","Spain","Plum and berry aromas are pure and compact. This is a lively, energetic, everyday Tempranillo with lots of bounce to its step. The power-packed palate is full of mixed berry flavors, while the finish is dense and comfortable, with residual weight.",88,11,"Central Spain","Tempranillo",40.463667,-3.74922,1
"49","Italy","Leafy underbrush, scorched earth, porcini mushroom and dried plum aromas lead the nose. The firmly structured palate offers dried black cherry, raspberry confiture and licorice alongside assertive, tightly-packed tannins. Drink 2018–2024.",90,80,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"50","France","Named after the series of vineyard terraces that rise steeply from the Lot river, this wine is soft and easily accessible. It does have the Malbec structure although this is comfortably balanced by the black fruit and acidity. The wine will be ready to drink from 2017.",85,14,"Southwest France","Malbec",46.227638,2.213749,4
"51","Chile","Solid berry and cassis aromas are a touch baked on the nose. This is firm, moderately tannic on the palate, with baked plum, blackberry, vanilla and spice flavors. A woody note of maple gains prominence on the finish.",89,20,"Maipo Valley","Cabernet Sauvignon",-33.444962,-70.648283,3
"52","Chile","Creamy oak, herbal blackberry, vanilla and mild green notes make for an intriguing, spicy nose. A heavy, tannic palate brings the weight and thickness, while flavors of blackberry and boysenberry come with salty notes and a briny, herbal finish.",89,20,"Cachapoal Valley","Syrah",-34.1718313,-70.6216794,3
"53","Chile","Briny aromas of bell pepper, jalapeño and canned pea are green-leaning but not overly vegetal. This has a round mouthfeel and ample body to absorb the wine's acidity, while flavors of celery, bell pepper, lime and tangerine come with a strong grassy accent and a persistent, briny tasting finish.",89,17,"Leyda Valley","Sauvignon Blanc",-33.6131574,-71.4501843,3
"54","Italy","Pretty aromas of violet, rose and wild berry lead the nose. The bright but rather lean palate offers raw red berry, peppercorn and saline together with notes of dried sage. Astringent tannins create an abrupt finish.",87,87,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"55","France","Produced from two parcels in Aloxe Corton, this structured wine has red-plum fruitiness that is still masked by a dry tannic coating. It has concentration and good potential. Drink this textured, firm wine from 2018.",90,80,"Burgundy","Pinot Noir",47.0525047,4.3837215,4
"56","Italy","This offers aromas suggesting forest floor, porcini mushroom, grilled herb, leather and mature berry. The ripe, chewy palate displays black cherry, sage, licorice and toasted nut alongside tightly wound tannins that need to unwind. 2018–2024.",90,56,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"57","Spain","Black fruits, fine herbs and horsehide carry the aromas of this offering. In the mouth, this is firm and well built, with integrated tannins. Savory flavors of soy sauce and roast plum share space with bolder, riper cherry notes, while a warm, earthy finish tastes of roasted plum and berry. Drink through 2021.",90,30,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"58","France","Pure fruitiness with a deliciously tangy texture mark this wine. It has a rich, juicy character with light spice to highlight the green fruits and zesty bitter orange flavor. At the moment, the wine is all fruit and it needs to age to bring out the greater depth. Drink from 2017.",92,30,"Alsace","Riesling",48.3181795,7.4416241,4
"59","Argentina","The color of this Malbec and the legs it gives off help separate it from the pack. A plush nose shows unabsorbed oak and char along with deep berry and cassis notes. Total saturation on the palate matches the nose, and this tastes of chocolate, mocha, wood spice and rich berry fruits. Oak is currently speaking the loudest on the finish. Drink through 2023.",93,40,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"60","Spain","This modern-style Tempranillo is registering at max ripeness. Aromas of black fruits, raisin, tire rubber and toasty French oak project a dark outlook. In the mouth, this is tight and gripping. Flavors of blackened oak, cassis and blackberry finish firm and closed, with manageable tannins. Drink through 2025.",93,61,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"61","Chile","Dense aromas of earth, berry fruits, latex and animal fur are a touch challenging at first but balance out with airing. This has a crisp, fresh feel despite coming from a hot year. Lightly herbal, leathery flavors of red currant and wild berry finish oaky, with more than adequate filling.",89,20,"Colchagua Valley","Cabernet Sauvignon",-34.6761419,-71.097317,3
"62","Spain","Cherry and plum aromas are accented by buttery oak, leather and animal notes. Solid in feel with firm tannins, this warm-vintage Tempranillo is ripe, loamy and loaded with berry and cassis flavors. A lightly raisiny finish is friendly and round. Drink through 2019.",90,24,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"63","France","This is a soft wine whose herbal character is held in check by a smooth texture. It is bright and crisp, with plenty of citrus and gooseberry flavors as well as intense acidity. The wine is ready to drink.",85,15,"Southwest France","Sauvignon Blanc",46.227638,2.213749,4
"64","Argentina","A mix of blueberry, plum and animal aromas leads to a wiry, clipped palate fueled by tartaric acid. Lightly salted plum flavors are slightly jammy, while a blueberry note is brought back on the finish.",85,12,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"65","Australia","Hints of lemon curd and struck flint emerge from they lass, while the palate reveals flavors of apple, pear and citrus. With its pared-back flavors and restrained nature, this medium-bodied Chardonnay should prove versatile at the table. Drink now–2016.",88,25,"South Australia","Chardonnay",-30.0002315,136.2091547,2
"66","Italy","This Sangiovese features aromas of blue flower, dark berry and a balsamic note. The extracted palate delivers dried black cherry, ground pepper and espresso alongside bracing tannins that leave a drying, astringent finish.",87,23,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"67","France","With some firm structure behind the red fruits, this wine will have a good future. A dry core sustained by the acidity is waiting to burst out and give a ripe, fruity while always fresh wine. Drink from 2018.",90,56,"Burgundy","Pinot Noir",47.0525047,4.3837215,4
"68","France","With a little airing, this wakes up to reveal dark red cherries held in a taut and firm body that nonetheless has a generous core. There is some gentle grip and frank, firm acidity. It's a very honest wine without any baroque frills—but bags of forthright appeal.",90,35,"Alsace","Pinot Noir",48.3181795,7.4416241,4
"69","Italy","This wine opens with aromas of baked plum, leather, underbrush, grilled herb and a toasted note. The ripe, chewy palate offers raspberry jam, fleshy black cherry, licorice and a hint of vanilla alongside solid tannins. Drink through 2020.",90,70,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"70","France","A ripe and rich wine, this is full of jammy red fruits. The structure is well integrated into the fruits, giving a smooth, ripe wine that's developing attractively. With a juicy, fresh aftertaste, it is ready to drink, although it will be better from 2017.",90,35,"Loire Valley","Pinot Noir",47.5532402,1.0105289,4
"71","France","There is a toasty aroma in this wine that comes from a premier cru next door to Chassagne-Montrachet. This toastiness continues into a spicy, toasty note. A good sense of fruitiness gives the wine a ripe and rich character that will allow it to mature well. Drink from 2017.",90,43,"Burgundy","Chardonnay",47.0525047,4.3837215,2
"72","France","This premium cuvée from Eugénie is packed both with superripe fruit and layers of wood aging flavors. The fruit of this impressive wine is still pushing through the dark tannins that give a dry dusty edge to the wine. It is powerful and rich and should age. Drink from 2020.",93,40,"Southwest France","Malbec",46.227638,2.213749,4
"73","New Zealand","Envoy is Spy Valley's top range of bottlings. In this case, it's a single-vineyard wine that's fermented and matured in oak for 11 months. It's medium-bodied and silky in texture, with distinctive fumé notes, hints of struck match, and layers of passion fruit and grapefruit flavors. Dry, austere and long on the finish, it's a compelling example of New Zealand Sauvignon Blanc.",93,33,"Marlborough","Sauvignon Blanc",-41.57269,173.4216613,3
"74","Spain","Aromas of roasted earth, leather and fine oak are more out-front than berry fruit, and that's the way it should be for a Gran Reserva. This feels bold, lively and still a touch bumpy. Chocolaty oak and vanilla notes rest comfortably on top of ripe berry and black-plum flavors, while the finish is persistently earthy and chocolaty. Drink through 2028.",93,37,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"75","France","Situated in the center of the premier crus of Puligny, Champgains produces an elegant, textured wine. This bottling, with the warmth of 2013 behind it, is fragrant with white fruits and has a soft aftertaste. It needs to age to bring it out its more complex character, so wait until 2018.",90,141,"Burgundy","Chardonnay",47.0525047,4.3837215,2
"76","France","Still young, the wine is very mineral, smoky and tight, with considerable structure and concentration. The apple and citrus fruits are attractive, although almost a sideshow compared with the texture of the wine. Drink from 2017.",92,34,"Alsace","Riesling",48.3181795,7.4416241,4
"77","France","A truly aromatic Riesling that has a wonderful series of fruit and spice perfumes. It's ripe and full in the mouth, offering a strongly mineral edge as well as rich apple and citrus. Textured and still very tangy, the complex wine needs to age, so drink from 2017.",92,30,"Alsace","Riesling",48.3181795,7.4416241,4
"78","France","This is still young, a tight wine with nervy acidity and very fresh fruitiness. A strongly mineral character from the chalk soil adds to the sense of dry, steeliness. It still needs to age, so drink from 2017.",92,49,"Alsace","Riesling",48.3181795,7.4416241,4
"79","Argentina","Eight years down the line and this Malbec shows the flaws caused by a harvest marred by freezes. This smells like a mix of green bean and jammy boysenberry. The palate feels saturated but soupy, with outsize acidity. Green-herb flavors mix with baked plum and blueberry, while the finish feels sticky, tannic and heavy.",85,35,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"80","Argentina","Dusty, generic plum and berry aromas are highly regular. This Malbec is chunky in feel, without much precision. Oaky buttery slightly greasy berry flavors finish hot and creamy, with little to no elegance or cut.",85,13,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"81","Italy","Aromas of underbrush, menthol and a whiff of cellar floor carry over to the palate, along with dried cherry and licorice. Astringent tannins provide support.",87,55,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"82","Argentina","Jammy, soft blueberry aromas are a touch green. This is syrupy, heavy and sticky on the palate, with chocolate, prune and peppery flavors. Tannic and heavy on the finish, this is an overweight Malbec that's lush to the point of being fat.",87,38,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"83","France","This is a ripe, perfumed wine with smooth, generous texture and broad black fruits. An earthy, leathery edge gives extra character, and the suggestion of maturity comes from the wood aging and the ripe berry fruits. Drink now.",89,26,"Southwest France","Malbec",46.227638,2.213749,4
"84","Chile","Lean aromas of bell pepper and green fruits are not overly intense. This is linear, juicy and tight in frame. Flavors of lime, scallion, caper and dry cider finish racy and scouring. Good mouthfeel is a plus.",88,13,"Casablanca Valley","Sauvignon Blanc",-33.3190376,-71.4076318,3
"85","France","Rich and full in the mouth, this is a wine with structure, tight minera ltexture and beautifully juicy fruit. The acidity is a strong part of this wine, giving a citrus tang to go over the wood aging. Drink from 2016.",91,78,"Burgundy","Chardonnay",47.0525047,4.3837215,2
"86","France","Because strong toast aromas show through this wine, its attractive full fruit will need time to come through. The wine, with its firm, almost red-wine structure, needs to age until 2016 before drinking.",91,60,"Burgundy","Chardonnay",47.0525047,4.3837215,2
"87","Spain","Raw, lightly leafy red-berry aromas properly announce what amounts to a juicy, snappy Tempranillo with berry, spice and dry oak flavors. A dry feeling, peppery tasting finish is traditional for good, basic Spanish table wine.",88,14,"Central Spain","Tempranillo",40.463667,-3.74922,1
"88","France","Tight, nervy and mineral, this crisp and fruity wine needs a few months to develop fully. It's lively with citrus fruits, an herbaceous character and steely aftertaste.",88,15,"Bordeaux","Sauvignon Blanc",44.837789,-0.57918,4
"89","Argentina","Raspberry and plum aromas start with a resiny oak covering that turns foresty and briary with airing. This is raisiny and ripe in feel, with a complex mix of berry, fennel and anise flavors. A lush, dense-feeling finish is minty and herbal.",88,28,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"90","France","The picturesque name of the wine, the vineyard where God sits, comes from a monopole—a walled property in the hills behind Beaune, wholly owned by the Château de Santenay. Ripe and smooth with an attractive, crisp texture, the wine is ready to drink. A touch of toast gives extra interest.",90,50,"Burgundy","Chardonnay",47.0525047,4.3837215,2
"91","France","Produced from 25-year-old vines, this is a fresh as well as ripe wine, well balanced between herbal flavors and white and citrus fruitiness. It has a rounded texture that is juicy as well as full in the mouth. The wine is ready to drink.",90,20,"Loire Valley","Sauvignon Blanc",47.5532402,1.0105289,4
"92","Argentina","Ripe borderline raisiny aromas include earth, cedar and graphite scents. This is concentrated, grabby and fully extracted. Flavors of jammy black fruits blend with spicy saucy notes prior to a finish with flavors of tomato, herbs, salt and gamy meat. Firm acidity guarantees this will last at least another five years before falling off.",90,24,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"93","Italy","This opens with subdued aromas of espresso, grilled herb, scorched underbrush and French oak. The lean evolved palate shows roasted coffee bean, a hint of oak-driven spice and a salty note but the fruit has already dried up, leaving an abrupt, astringent finish.",85,149,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"94","Argentina","Aromas of roasted but slightly weedy berry fruits, road tar and latex precede a raw shallow pulling palate. This Malbec tastes of salty and savory black plums, tomatoes and herbs. On the finish, this delivers mostly spaghetti-sauce flavors.",84,12,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"95","France","The wine is intense, full in the mouth and rich. The warm, concentrated character brings out both ripe fruits and minerality. The result is a textured wine, tangy and citrus-driven, that also has broad yellow fruits along with the final acidity. Drink from 2016.",91,14,"Alsace","Riesling",48.3181795,7.4416241,4
"96","France","Perfumed and off dry, this rich wine has spice, structure and a floral character. It is so young with its white fruits, hint of lychee and lime-juice acidity. The wine needs to age to reveal its potential. Drink from 2018.",91,36,"Alsace","Riesling",48.3181795,7.4416241,4
"97","Italy","Aromas suggest mature black berry, savory herb and a balsamic note. The palate displays baked plum, black pepper and anisette alongside bracing tannins.",87,140,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"98","Italy","Aromas suggest toast, mocha, vanilla, dark-skinned fruit and a whiff of burnt matches. The oak-driven spices carry over to the palate along with a licorice note but not much fruit richness. Astringent tannins provide the backbone.",87,50,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"99","Italy","Aromas of pressed powder, blue flower and a whiff of plum waft from the glass. The palate offers dried red berry, sage and mint but not much fruit richness. Bracing, drying tannins leave an astringent finish.",87,55,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"100","Italy","Red currant, vanilla, toasted oak, coffee and chocolate aromas lead the nose and follow through to the dense, full-bodied palate. It's one-dimensional but muscular, with ample, velvety tannins.",88,65,"Tuscany","Merlot",43.7710513,11.2486208,3
"101","Italy","Aromas of vanilla, prune and nutmeg lead the nose on this robust Merlot. The dense, monolithic palate offers raisin, leather and licorice alongside the heat of evident alcohol and drying tannins. It's shy on freshness and fruit richness so drink sooner rather than later.",88,120,"Tuscany","Merlot",43.7710513,11.2486208,3
"102","Chile","Aromas of brambly plum and raspberry set up a palate with ripe flavors of black cherry and nutmeg. A baking-spice character carries onto the finish, which turns more soft and candied as it wraps up.",88,20,"Casablanca Valley","Pinot Noir",-33.3190376,-71.4076318,3
"103","Spain","Easy berry and plum aromas come across clean and pure. This has a staunch mouthfeel with rubbery, pinching tannins. Earthy, ripe berry and plum flavors turn even riper on the back palate and finish, which lingers in a solid state.",88,15,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"104","Spain","Earthy, ripe, slightly flat aromas of black fruits define the nose on this dense Toro. Soft, mellow, quiet flavors of blackberry and raisin finish rich, loamy and with a note of prune. Drink this ripe, fairly sweet-tasting wine now.",88,15,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"105","Chile","Oceanic aromas of grass, scallion, baby garlic and lime reflect cool-coast origins. A slick, juicy mouthfeel is minerally, while this offers flavors of nettle, lime, passion fruit and green onion. A long, stony finish leans towards green flavors.",90,22,"Aconcagua Costa","Sauvignon Blanc",-35.675147,-71.542969,3
"106","France","Young vines, planted in 2007, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2019.",90,117,"Burgundy","Chardonnay",47.0525047,4.3837215,2
